Name,Family Name,Years Python,Use Case Python,Neural Network,Python Skill,Tokenisation,Regression,Neural Work,NLP,Tokenisation Method,Timestamp
nicolas,faure,20,"Systèmes de prédiction et data engineering.","Oui, expertise avancée.","Je me note 19/20 en Python.","La tokenisation structure le langage pour l’apprentissage.","La régression est centrale en modélisation statistique.","J’ai conçu et déployé des réseaux neuronaux.","Le NLP combine linguistique et machine learning.","SentencePiece.",2026-02-02T14:41:28.664902
camille,gauthier,6,"Analyse exploratoire et machine learning.","Bonne compréhension des réseaux neuronaux.","Je me situe à 14/20.","La tokenisation prépare les textes à l’analyse.","La régression sert à prédire des résultats continus.","Projets ML avec réseaux simples.","Le NLP permet l’analyse de textes.","Tokenisation par mots.",2026-02-02T14:41:33.332187
thomas,henry,11,"Développement backend et data.","Oui, expérience pratique.","Mon niveau Python est de 17/20.","La tokenisation est une phase de prétraitement.","La régression modélise des relations continues.","Réseaux neuronaux pour scoring.","Le NLP traite le langage naturel.","BPE.",2026-02-02T14:41:37.901332
claire,martin,4,"Scripts et analyses ponctuelles.","Connaissances de base.","Je m’évalue à 12/20.","La tokenisation découpe les phrases.","La régression prédit des nombres.","Peu d’expérience NN.","Le NLP permet l’exploitation du texte.","Tokenisation simple.",2026-02-02T14:41:42.488220
julien,rousseau,13,"Modélisation et déploiement ML.","Oui, bonne expertise.","Je me donne 18/20 en Python.","La tokenisation segmente le texte.","La régression est utilisée pour prédire des tendances.","Travail sur modèles neuronaux en production.","Le NLP automatise l’analyse linguistique.","SentencePiece et BPE.",2026-02-02T14:41:47.130991
laura,lopez,7,"Data analysis et automatisation.","Familiarité intermédiaire.","Je m’évalue à 15/20.","La tokenisation prépare le texte.","La régression relie variables et valeurs.","Utilisation de réseaux simples.","Le NLP structure le langage.","WordPiece.",2026-02-02T14:41:51.772009
maxime,collin,10,"Applications ML et API.","Oui, solide expérience.","Mon niveau Python est de 17/20.","La tokenisation segmente le texte.","La régression modélise des sorties continues.","Conception de réseaux neuronaux.","Le NLP traite textes et discours.","BPE.",2026-02-02T14:41:56.499301
amelie,gerard,2,"Automatisation basique.","Notions théoriques.","Je me situe à 10/20.","La tokenisation divise le texte.","La régression prédit une valeur.","Aucune pratique NN.","Le NLP est l’analyse du langage.","Tokenisation simple.",2026-02-02T14:42:01.183992
sebastien,bonnet,18,"Architecture data et ML.","Oui, expert.","Je m’évalue à 19/20.","La tokenisation est essentielle en NLP.","La régression est un outil clé.","Réseaux neuronaux complexes.","Le NLP permet compréhension du langage.","SentencePiece.",2026-02-02T14:42:05.933210
alex,morel,6,"Développement de scripts d’analyse et automatisation de processus.","Oui, je connais les principes généraux des réseaux de neurones et leur fonctionnement.","Je situe mon niveau Python à 14/20 grâce à une pratique régulière.","La tokenisation consiste à découper un texte en unités exploitables.","La régression permet de prédire une valeur numérique continue.","J’ai travaillé sur des réseaux simples pour des projets de classification.","Le NLP vise à analyser et comprendre le langage humain.","Tokenisation par mots et BPE.",2026-02-02T15:00:01
emma,dupuis,8,"Analyse de données et développement d’outils internes.","Je suis familier avec les architectures classiques comme les réseaux fully connected.","Je m’évalue à 15/20 en Python.","La tokenisation transforme le texte brut en tokens.","La régression modélise des relations entre variables.","Utilisation de réseaux neuronaux pour tests prédictifs.","Le NLP permet de traiter des textes automatiquement.","WordPiece.",2026-02-02T15:00:02
luc,perret,5,"Nettoyage de données et visualisation.","Connaissances intermédiaires en réseaux neuronaux.","Mon niveau Python est de 13/20.","La tokenisation prépare le texte pour le machine learning.","La régression sert à estimer des valeurs continues.","Projets académiques utilisant des NN.","Le NLP est le traitement automatique du langage.","Tokenisation simple.",2026-02-02T15:00:03
sarah,lambert,9,"Développement de modèles prédictifs.","Bonne compréhension des réseaux neuronaux.","Je me situe à 16/20 en Python.","La tokenisation découpe le texte en unités.","La régression est utilisée pour la prédiction numérique.","Réseaux neuronaux pour scoring.","Le NLP analyse le sens des textes.","BPE.",2026-02-02T15:00:04
julien,roche,7,"Création d’API et automatisation.","Oui, je maîtrise les bases des réseaux neuronaux.","Je m’évalue à 15/20.","La tokenisation est une étape clé du NLP.","La régression prédit des valeurs continues.","Travail sur réseaux simples.","Le NLP permet de comprendre le langage.","Word-level.",2026-02-02T15:00:05
marion,fischer,10,"Data science et reporting.","Expérience solide avec réseaux neuronaux.","Mon niveau Python est de 17/20.","La tokenisation segmente le texte.","La régression modélise des phénomènes numériques.","Utilisation de NN pour classification.","Le NLP structure les données textuelles.","SentencePiece.",2026-02-02T15:00:06
kevin,leclerc,4,"Scripts et automatisation.","Connaissances de base.","Je me situe à 12/20.","La tokenisation découpe les phrases.","La régression prédit des nombres.","Peu de pratique NN.","Le NLP analyse le texte.","Tokenisation simple.",2026-02-02T15:00:07
laura,navarro,11,"Pipelines data et ML.","Bonne maîtrise des réseaux neuronaux.","Je m’évalue à 17/20.","La tokenisation transforme le texte en tokens.","La régression sert à prévoir des valeurs.","Travail sur réseaux neuronaux en production.","Le NLP permet l’analyse linguistique.","BPE.",2026-02-02T15:00:08
thomas,girard,6,"Analyse exploratoire de données.","Compréhension correcte des NN.","Je me situe à 14/20.","La tokenisation est essentielle pour le NLP.","La régression modélise des relations continues.","NN utilisés pour tests.","Le NLP traite le langage humain.","WordPiece.",2026-02-02T15:00:09
ines,caron,8,"Développement de modèles ML.","Familiarité avec CNN et MLP.","Je m’évalue à 15/20.","La tokenisation segmente le texte.","La régression prédit des résultats numériques.","Projets NN appliqués.","Le NLP interprète le texte.","BPE.",2026-02-02T15:00:10
paul,renaud,7,"Automatisation et scripts backend.","Connaissances intermédiaires.","Je me situe à 14/20.","La tokenisation prépare les données textuelles.","La régression sert à estimer des valeurs.","Utilisation occasionnelle de NN.","Le NLP automatise l’analyse du langage.","Word-level.",2026-02-02T15:00:11
camille,bouchet,5,"Nettoyage et analyse de données.","Bases solides en NN.","Mon niveau Python est de 13/20.","La tokenisation découpe le texte.","La régression permet la prédiction continue.","Travaux académiques NN.","Le NLP est le traitement du langage.","Tokenisation simple.",2026-02-02T15:00:12
nicolas,gaudin,12,"Déploiement de solutions ML.","Bonne expertise NN.","Je m’évalue à 17/20.","La tokenisation segmente les phrases.","La régression modélise les tendances.","Réseaux neuronaux en production.","Le NLP permet l’extraction de sens.","SentencePiece.",2026-02-02T15:00:13
anais,lemoine,6,"Analyse et visualisation.","Connaissances intermédiaires.","Je me situe à 14/20.","La tokenisation prépare le texte.","La régression prédit des valeurs.","NN simples utilisés.","Le NLP analyse les textes.","WordPiece.",2026-02-02T15:00:14
florian,payet,9,"Machine learning appliqué.","Bonne maîtrise NN.","Je m’évalue à 16/20.","La tokenisation est une étape de base.","La régression sert à la prédiction.","Réseaux neuronaux pour ML.","Le NLP comprend le langage.","BPE.",2026-02-02T15:00:15
romane,vidal,4,"Scripts analytiques.","Bases NN.","Je me situe à 12/20.","La tokenisation découpe le texte.","La régression prédit un nombre.","Peu de pratique NN.","Le NLP traite le langage.","Tokenisation simple.",2026-02-02T15:00:16
quentin,marchal,10,"Développement ML et data.","Bonne expérience NN.","Je m’évalue à 16/20.","La tokenisation segmente le texte.","La régression modélise les valeurs.","Travail sur NN.","Le NLP permet analyse sémantique.","SentencePiece.",2026-02-02T15:00:17
julie,poulain,7,"Analyse de données.","Connaissances solides.","Je me situe à 15/20.","La tokenisation prépare le texte.","La régression prédit des valeurs continues.","NN utilisés en projets.","Le NLP est l’analyse du langage.","BPE.",2026-02-02T15:00:18
vincent,berger,11,"Architecture ML.","Bonne maîtrise NN.","Je m’évalue à 17/20.","La tokenisation structure le texte.","La régression modélise les données.","NN en production.","Le NLP comprend le langage humain.","SentencePiece.",2026-02-02T15:00:19
elise,faivre,6,"Reporting et analyse.","Connaissances intermédiaires.","Je me situe à 14/20.","La tokenisation découpe le texte.","La régression prédit des valeurs.","NN simples.","Le NLP traite le langage.","Word-level.",2026-02-02T15:00:20
mathieu,bernard,6,"Analyse de données et automatisation de tâches.","Bonne compréhension des réseaux neuronaux.","Je m’évalue à 14/20 en Python.","La tokenisation découpe le texte en unités exploitables.","La régression permet de prédire des valeurs numériques.","Utilisation de réseaux neuronaux pour projets ML.","Le NLP permet l’analyse automatique du langage.","Tokenisation par mots.",2026-02-02T15:01:01
claire,monnier,8,"Développement de scripts et pipelines data.","Connaissances solides en réseaux neuronaux.","Mon niveau Python est de 15/20.","La tokenisation segmente le texte brut.","La régression modélise une relation continue.","Travail sur réseaux neuronaux simples.","Le NLP analyse et comprend le langage.","BPE.",2026-02-02T15:01:02
sebastien,rolland,10,"Machine learning et prédiction.","Bonne expérience des NN.","Je m’évalue à 16/20.","La tokenisation prépare les données textuelles.","La régression sert à estimer des valeurs.","Réseaux neuronaux appliqués en ML.","Le NLP permet le traitement du texte.","WordPiece.",2026-02-02T15:01:03
amelie,robert,5,"Nettoyage et visualisation de données.","Bases correctes en réseaux neuronaux.","Je me situe à 13/20.","La tokenisation consiste à découper le texte.","La régression prédit une valeur continue.","Peu de projets NN.","Le NLP traite le langage humain.","Tokenisation simple.",2026-02-02T15:01:04
yann,petit,12,"Développement de modèles prédictifs.","Très bonne maîtrise des NN.","Je m’évalue à 17/20.","La tokenisation segmente les phrases.","La régression modélise des tendances.","NN en environnement professionnel.","Le NLP est l’analyse du langage.","SentencePiece.",2026-02-02T15:01:05
laetitia,guillot,7,"Analyse exploratoire de données.","Connaissances intermédiaires NN.","Je me situe à 14/20.","La tokenisation prépare le texte pour le ML.","La régression prédit des résultats numériques.","Réseaux neuronaux utilisés ponctuellement.","Le NLP automatise l’analyse linguistique.","Word-level.",2026-02-02T15:01:06
pierre,delcourt,9,"Data science et modélisation.","Bonne compréhension des NN.","Je m’évalue à 15/20.","La tokenisation transforme le texte en tokens.","La régression explique des relations numériques.","NN utilisés pour classification.","Le NLP analyse le sens des textes.","BPE.",2026-02-02T15:01:07
helene,brunet,6,"Scripts analytiques et reporting.","Bases solides NN.","Je me situe à 14/20.","La tokenisation découpe le texte brut.","La régression sert à la prédiction continue.","Travaux académiques NN.","Le NLP est le traitement du langage.","Tokenisation simple.",2026-02-02T15:01:08
antoine,morin,11,"Déploiement de solutions ML.","Bonne expertise NN.","Je m’évalue à 17/20.","La tokenisation segmente les mots.","La régression modélise les valeurs continues.","Réseaux neuronaux en production.","Le NLP permet compréhension du langage.","SentencePiece.",2026-02-02T15:01:09
melanie,francois,4,"Automatisation de scripts.","Notions de base NN.","Je me situe à 12/20.","La tokenisation découpe le texte.","La régression prédit une valeur.","Peu d’expérience NN.","Le NLP traite le texte.","Word-level.",2026-02-02T15:01:10
olivier,masson,8,"Analyse de données métier.","Connaissances solides NN.","Je m’évalue à 15/20.","La tokenisation prépare les données textuelles.","La régression modélise une relation continue.","Utilisation de NN pour prédictions.","Le NLP analyse le langage naturel.","BPE.",2026-02-02T15:01:11
sophie,lucas,7,"Data visualisation et ML.","Compréhension correcte des NN.","Je me situe à 14/20.","La tokenisation segmente le texte.","La régression sert à estimer des valeurs.","NN simples utilisés.","Le NLP comprend le langage.","Tokenisation simple.",2026-02-02T15:01:12
jeremy,henry,10,"Développement ML.","Bonne maîtrise NN.","Je m’évalue à 16/20.","La tokenisation découpe le texte en unités.","La régression prédit des valeurs continues.","NN pour projets ML.","Le NLP est l’analyse du langage.","WordPiece.",2026-02-02T15:01:13
audrey,legrand,6,"Analyse et préparation de données.","Bases intermédiaires NN.","Je me situe à 14/20.","La tokenisation transforme le texte.","La régression modélise une variable continue.","Projets NN simples.","Le NLP traite le langage humain.","BPE.",2026-02-02T15:01:14
fabien,couturier,9,"Modélisation prédictive.","Bonne compréhension NN.","Je m’évalue à 15/20.","La tokenisation segmente le texte.","La régression prédit des valeurs numériques.","NN utilisés pour prédictions.","Le NLP analyse les textes.","SentencePiece.",2026-02-02T15:01:15
nadia,benoit,5,"Scripts de traitement de données.","Bases NN.","Je me situe à 13/20.","La tokenisation découpe les phrases.","La régression sert à la prédiction.","Peu de pratique NN.","Le NLP automatise le traitement du langage.","Word-level.",2026-02-02T15:01:16
thibault,lefebvre,12,"Architecture ML et data.","Très bonne expertise NN.","Je m’évalue à 18/20.","La tokenisation structure le texte.","La régression modélise des relations continues.","NN en production.","Le NLP permet l’analyse sémantique.","SentencePiece.",2026-02-02T15:01:17
marie,duval,7,"Analyse de données marketing.","Connaissances intermédiaires NN.","Je me situe à 14/20.","La tokenisation prépare le texte.","La régression prédit des indicateurs.","NN pour analyses exploratoires.","Le NLP analyse le langage.","BPE.",2026-02-02T15:01:18
guillaume,pierre,8,"Machine learning appliqué.","Bonne compréhension NN.","Je m’évalue à 15/20.","La tokenisation segmente le texte.","La régression sert à estimer des valeurs.","Réseaux neuronaux simples.","Le NLP comprend le texte.","WordPiece.",2026-02-02T15:01:19
isabelle,maury,6,"Reporting automatisé.","Bases NN.","Je me situe à 13/20.","La tokenisation découpe le texte.","La régression modélise une variable.","Peu d’usage NN.","Le NLP traite le langage.","Tokenisation simple.",2026-02-02T15:01:20
adrien,delmas,15,"Conception d’architectures logicielles et systèmes ML en production.","Expert des réseaux neuronaux profonds, incluant CNN, RNN et transformers.","Je m’évalue à 19/20 en Python avec une forte expertise en performance et architecture.","La tokenisation est un processus fondamental transformant le texte en unités adaptées aux modèles.","La régression modélise précisément les relations continues complexes.","Développement et déploiement de réseaux neuronaux en production.","Le NLP permet l’analyse sémantique avancée du langage humain.","BPE, WordPiece et SentencePiece.",2026-02-02T15:10:01
clotilde,martin,14,"Développement de pipelines ML industriels.","Maîtrise complète des réseaux neuronaux et de leur optimisation.","Mon niveau Python est de 18/20.","La tokenisation segmente le langage en représentations exploitables.","La régression est utilisée pour des prédictions fines et robustes.","Réseaux neuronaux déployés à grande échelle.","Le NLP combine linguistique et deep learning.","SentencePiece.",2026-02-02T15:10:02
sebastien,lemoal,18,"Recherche et développement en intelligence artificielle.","Expert en architectures neuronales avancées.","Je m’évalue à 19/20.","La tokenisation est cruciale pour la performance des modèles NLP.","La régression modélise des phénomènes continus complexes.","Recherche appliquée sur réseaux neuronaux.","Le NLP vise la compréhension profonde du langage.","BPE avancé.",2026-02-02T15:10:03
marianne,rousseau,13,"Systèmes de recommandation et IA.","Très forte expertise en réseaux neuronaux.","Je me situe à 18/20 en Python.","La tokenisation transforme le texte en unités sémantiques.","La régression est utilisée pour l’optimisation prédictive.","NN pour moteurs de recommandation.","Le NLP permet l’extraction de sens contextuel.","WordPiece.",2026-02-02T15:10:04
olivier,faure,16,"Optimisation de modèles ML.","Expert des réseaux neuronaux profonds.","Mon niveau Python est de 19/20.","La tokenisation est une représentation intermédiaire essentielle.","La régression modélise précisément les données numériques.","NN utilisés en environnement critique.","Le NLP automatise la compréhension linguistique.","SentencePiece.",2026-02-02T15:10:05
sandra,peterson,12,"Développement IA embarquée.","Expertise avancée en NN.","Je m’évalue à 18/20.","La tokenisation permet de vectoriser le langage.","La régression prédit des variables continues complexes.","NN pour systèmes embarqués.","Le NLP traite des données textuelles complexes.","BPE.",2026-02-02T15:10:06
vincent,chevalier,17,"Architecture data et ML.","Expert NN et deep learning.","Je me situe à 19/20.","La tokenisation structure le langage pour l’apprentissage.","La régression modélise les tendances numériques.","Réseaux neuronaux en production industrielle.","Le NLP analyse le langage à grande échelle.","SentencePiece.",2026-02-02T15:10:07
elodie,bertrand,14,"Analyse sémantique avancée.","Très forte maîtrise des NN.","Je m’évalue à 18/20.","La tokenisation découpe le texte en unités pertinentes.","La régression est utilisée pour prédictions fines.","NN pour NLP avancé.","Le NLP permet la compréhension contextuelle.","WordPiece.",2026-02-02T15:10:08
maxime,leroux,16,"Développement de plateformes IA.","Expert en réseaux neuronaux modernes.","Je me situe à 19/20.","La tokenisation est une étape critique du NLP.","La régression modélise des phénomènes continus.","NN déployés à grande échelle.","Le NLP permet des interactions homme-machine.","SentencePiece.",2026-02-02T15:10:09
nathalie,gomez,13,"Recherche appliquée en ML.","Expertise solide en NN.","Je m’évalue à 18/20.","La tokenisation prépare le texte pour le deep learning.","La régression permet des estimations précises.","NN pour recherche ML.","Le NLP analyse les structures linguistiques.","BPE.",2026-02-02T15:10:10
julien,perrin,15,"Systèmes intelligents et IA.","Expert NN.","Je me situe à 19/20.","La tokenisation segmente le langage efficacement.","La régression modélise des données continues.","NN pour systèmes intelligents.","Le NLP comprend le langage humain.","SentencePiece.",2026-02-02T15:10:11
isabelle,rodriguez,14,"Traitement automatique du langage.","Expert en réseaux neuronaux NLP.","Je m’évalue à 18/20.","La tokenisation est essentielle pour représenter le texte.","La régression sert à prédire des variables continues.","NN spécialisés en NLP.","Le NLP est le cœur de mes travaux.","WordPiece.",2026-02-02T15:10:12
thomas,nguyen,17,"Optimisation de modèles IA.","Expert deep learning.","Je me situe à 19/20.","La tokenisation améliore la performance des modèles.","La régression modélise des relations complexes.","NN pour IA avancée.","Le NLP analyse le langage à haut niveau.","SentencePiece.",2026-02-02T15:10:13
camille,lopez,13,"Analyse prédictive avancée.","Très bonne expertise NN.","Je m’évalue à 18/20.","La tokenisation transforme le texte en données exploitables.","La régression est un outil clé de prédiction.","NN pour analyse avancée.","Le NLP permet l’analyse sémantique.","BPE.",2026-02-02T15:10:14
patrick,moreau,18,"Recherche et innovation IA.","Expert reconnu en NN.","Je me situe à 20/20.","La tokenisation est une représentation clé du langage.","La régression modélise des phénomènes continus complexes.","NN pour recherche avancée.","Le NLP permet la compréhension profonde du langage.","SentencePiece.",2026-02-02T15:10:15
alexandre,durand,16,"Conception de plateformes ML scalables et APIs de prédiction.","Expert confirmé des réseaux neuronaux profonds et transformers.","Je m’évalue à 19/20 en Python avec une forte expertise en performance et architecture.","La tokenisation est une représentation structurée du langage permettant l’apprentissage profond.","La régression modélise des relations continues complexes avec une forte précision.","Déploiement de modèles NN en production à grande échelle.","Le NLP vise la compréhension contextuelle et sémantique du langage.","BPE, WordPiece, SentencePiece.",2026-02-02T16:00:01
